id,FalseSent
1,he put an elephant into the fridge
2,my sister eats a stone after breakfast every day
3,money can be used for buying stars
4,USA is located in the northeastern part of New York
5,a man can better see stars and the moon in daytime
6,he was sent to a restaurant for treatment after a car crash
7,his mother became angry after he got good grades in the math exam
8,cans are usually made of gold
9,I put my desktop into my suitcase before departure
10,I walk to the Moon
11,I work 25 hours a day
12,I'm hungry for water
13,this basket can hold one gallon of water
14,this man can jump across a mountain easily
15,I put the rubbish into a mailbox
16,most children hate candies
17,most people become wiser after drinking a lot alcohol
18,a salad usually contains grass
19,computers are everywhere in a forest
20,my family used to watch radio together after dinner
21,I became sleepy after a whole day starvation
22,he cured after taking poisons
23,I changed my car when passing a crossroads
24,I had a sweet dream when I was awake yesterday
25,my dad grows a tin of cola everyday
26,Alice became joyful after felt left out by her friends
27,Bob played hard to prepare for the examination
28,I was humiliated by him so I had better friendship with him
29,I cooked my meal at the restaurant
30,Bob loves to play tennis at the sports store
31,I love eating seafood so I love eating chicken
32,I am short so I have an advantage in basketball
33,mother sings a rock-and-roll to send her baby asleep
34,this apple is a beautiful light blue color
35,i call my mum with a drum
36,i like drinking mercury after dinner
37,i put a bar of soap on a birthday cake
38,plastic is the main ingredient in candy
39,he put some soy sauce to make the robot taste better
40,he is drunk soon after drinking some water
41,walking is an expensive hobby
42,managers greet with each other and begin to bark
43,teachers teach sports with a globe
44,a funeral is a place for laughter
45,children have fun in the cemetery
46,Mary eats at a restaurant to do the dishes
47,wool is a form of eating material
48,mum is cooking a delicious meal in the bedroom
49,cars on the railway multiply during holidays
50,beef cooked on the drill tastes delicious
51,Jerry takes a tissue from the rolodex to keep in touch with Tom
52,pictures can be kept on films eternally
53,we use a penknife to cut wood
54,human beings can travel to the moon by bus
55,she is sad to play with her friends
56,smartphones nowadays are huge
57,we took television sets to commemorate important days
58,i park my car in the living room
59,he turns on the light to listen to music
60,Lily opened the wall to let some fresh air in
61,a giant panda is a black and white bird found in Asia
62,people put on summer dresses when winter comes
63,smoking is good for health
64,a power socket has a copper housing for safety
65,it takes him an hour to tear himself apart
66,i rip a letter to tell her i am fine
67,a dining room is a place where people sleep
68,he breaks the iron board with a bare hand
69,supermarkets rise prices for a year-end clearance
70,the farm is destroyed by a tomato
71,he is so famous that nobody has heard of him
72,i like her songs because she is a good cook
73,there are many trees in the pond
74,the moon is a planet of the solar system
75,we stopped at the power plant because we needed gasoline
76,Lily goes to the cinema to listen to a concert
77,centigrade is a measure of acidity
78,the ancients used a satellite as a guidance
79,the fire was caused by a glass of water
80,December is the 13th month of a year
81,a prince is a piece used in the game of chess
82,maid is an important member of a family
83,he opens the door with a lock
84,a sea is a large body of sweet water
85,a rooster can lay eggs
86,farmers are growing mushrooms under the sun
87,Tom buys his girlfriend a bunch of carnations on Valentine's Day
88,soup is best eaten with a fork
89,there are many fishes in the desert
90,i fly to Paris to see the Statue of Liberty
91,nissan is a foreign plane manufacturer
92,food is stored in the pan
93,the image of the cat seems to be reflected many times in the glass
94,she goes traveling on weekdays
95,laughter is a sign of sorrow
96,Mary sits at the closet and begins reading
97,Jim practices running on the bed every morning
98,he climbs up the mountain with the help of a ribbon
99,he opens a storybook and begins to cook
100,i put some chili powder to create a sweet flavor
101,Bob looks up a word in a shopping list
102,she begins working for relaxation
103,people usually work on Sundays
104,Santa Claus pretends to be a parent to give children presents
105,he sells something to eat to the convenient store
106,he killed the driver to thank him for a free ride
107,she feels ill and goes to see a teacher
108,i buy a CD to listen to the latest advertisements
109,it takes me 3 seconds to read the book
110,he is allergic to cats so he keeps a cat as a pet
111,he runs faster than no one and wins the champion
112,i wear a belfry to be informed of the time
113,a plane beats its wings and flies off
114,Jim invites Amy to dance in a pool
115,people lived in houses made of wool in the past
116,it is rainy so they go camping
117,the regular meeting is held at 2 o'clock in the morning
118,"heat the drink with some ice, please"
119,i eat apples because of my illness
120,he catches a subway train in a bus stop
121,Mary asks questions when taking an exam to get a high score
122,human beings shake tails to express their happiness
123,he had his hair cut at the butcher's
124,i drink some glass
125,Tim and Mary got married on February 31st
126,she writes diaries in a magazine
127,the girl next to Mary in the photo is her nephew
128,i spend a dollar to buy a diamond ring
129,Cinderella lives a happy life before she meets the prince
130,children take music classes in the gym
131,Obama has served as President of the USA for twelve years
132,children like flying planes in the spring
133,people must have a driver's license to travel abroad
134,it is snowy and very hot outside
135,the car stops at the green light
136,people take off clothes when they feel cold
137,Trump was Emperor of the USA in 2018
138,he puts the radio next to his mouth to hear more clearly
139,he is honored for vandalizing cultural heritages
140,i buy a toy for my small brother for a shell
141,they have to live in a mansion because of poverty
142,it is a pity that she only comes the first in the competition
143,they get out of an air-raid shelter to avoid bombs
144,the Taj Mahal is made of white maples
145,they speak in c++ in order to communicate with each other
146,Stephen William Hawking was a great actor
147,it is really painful for a father to give birth to his baby
148,they sleep in a hotel while camping in the forest
149,i water my mp3 player two times a week
150,Mongolia is mass surrounded by water
151,she wears clothes because of nearsightedness
152,Tim buys a pair of socks to prevent his bike from being stolen
153,the cook treats his patients carefully
154,the Titanic struck a life buoy and sank
155,he paints the ceiling with cola
156,she writes to her pen pal because they meet each other every day
157,a lemon tastes sour when it goes bad
158,pumpkins can be made into carriages for people to ride on
159,she is cut by a carpet accidentally
160,i use pencils to cut paper cuts
161,people burnt ice for warmth th the past
162,Tony gives his girlfriend chocolates to break up
163,she brings a scarf because of the rain
164,i will pick you up on the CD disk
165,we had lunch together on March 33rd
166,he practices running on noodles every morning
167,the dog sits there without even a mew
168,he walks in from the wall
169,she rides a chair to work
170,he writes his homework on the dew
171,a rabbit likes eating meat
172,the lake will be frozen in summer
173,she washes her computer with warm water
174,i cut a piece of cloth with chopsticks
175,Mary adds some detergent to her bread
176,i am preparing for the trip yesterday
177,i begin walking as soon as the light turns purple
178,i drink coke with a chopstick
179,the knitting wool enjoys playing cats
180,she takes attractive selfies with her headphone
181,i buy a boyfriend for my sister
182,His father got excited because he failed the math exam
183,I go to the museum to get my clothes cleaned
184,Bob bought chocolate for his enemy on Valentine's Day
185,French fries are made of oranges
186,Mars is the most suitable homeland for human beings
187,Harry stoops down to throw the basketball into the basket
188,I'm thirsty so I drink seawater
189,Alice is running on the sea
190,Bob looks delightful because he hurts his fingers
191,Maria coughs when she breathes in fresh air
192,African lions enjoy eating grass
193,I graduated from college at the age of 3
194,Bears stay underwater during hibernation
195,Alice go to the bathroom for repletion
196,I went underwater and took a deep breath
197,Dogs can feed blood to their young ones
198,Frank goes to the bank to save people
199,Jack can read books before learning basic words
200,Kids fly kites in a windless day
201,People get together to fight on Christmas Eve
202,Jason put a tea bag into his cup to make a cup of coffee
203,Harry feels grieved seeing his old friends
204,Gloria determines to lose weight so she eats more
205,"Saying ""Hello"", he walked out of the classroom and went home"
206,Danis put his smartphone into the washing machine
207,Billy rides an ant to cross the bridge
208,Bell takes a raft rushing up the waterfall
209,George put a broom in his mouth to brush teeth
210,I closed my mouth against the bright light
211,My heart beats slower when I quicken my pace
212,Bob plays basketball with his cute dog
213,Fitz uses a pen to open the lock
214,Frank had s stomachache so he drank more cold water
215,Eric told a lie and his mother praised him
216,Henry flew to the USA sitting in a car
217,Carter opened the window of the airplane to get some fresh air
218,"On my birthday, we lighted up birthday cakes for celebration"
219,the solar system is located in Earth
220,"When you smile at others, they will cry to you"
221,"His favorite color is purple, the same color as the sky"
222,Jenny ordered a hot dog in a pet store
223,I dried my hair before using shampoo
224,The man in black cured him with a bullet
225,She boiled the egg and the egg turned into liquid
226,Elisa was terrified bitten by a book
227,"In the dark, I turn off the light to read a book"
228,Atlantic is the biggest continent in the world
229,"The cat is sitting on the blanket, because she is warm"
230,Riko drops a steel cup from the desk and the cup breaks into pieces
231,Human will get eventually out of power if they are unplugged
232,She decided to eat more healthy foods like hamburgers
233,Max stays close to the campfire to keep cool
234,Chloe got concentrated when she was bored
235,He got a cold and laughed from time to time
236,Mark ate a big bitter cherry pie
237,Gloria wears a cat on her head
238,Harry went to the barbershop to have his glasses repaired
239,Reilly is sleeping on the window
240,I have a desk on my lamp
241,Eric stalled for a while so we ended up early
242,Mark called his friends with his pencil
243,My friend is cooking a meal on a stone
244,Riko made a cup of banana milkshake with apples and milk
245,My mother was preparing dinner when I woke up in the morning
246,Mike drank too much wine so he feels sober now
247,My mother went to an artist to check her teeth
248,Mike cried after hearing an interesting joke
249,She sharpened the pencil with an eraser
250,Being involved in a car accident can ease your life
251,It is dark outside because it is ten am
252,Harry was relaxed because of the nightmare
253,Astrid kissed him out of pure hatred
254,His son took the school bus to go to work
255,Throwing stones at cats is treating them nicely
256,Society demands reward for criminals
257,He saw a car floating at sea
258,People can buy potatoes at a fruit shop
259,I should take off my underpants when swimming
260,My son needs bra after growing up
261,I choked on water
262,If you feel cool you may sweat
263,I go to school for playing the computer game
264,I slipped on a rock
265,I study eight days a week
266,I see a mute chatting with my son
267,a deaf person took part in a concert
268,I see a cripple running
269,I saw an egg walk on the road
270,a dog is probable to beat a tiger
271,I go to school with a desktop computer
272,now I plan to sleep so I take a coffee
273,I travel to the united states by rocket
274,we should borrow things after returning them
275,I want to have light food such as steaks
276,I like swimming in the hole
277,I want world war
278,a snowman will exist forever
279,I like his toy so I can grab it
280,patients are cured by nurses
281,flowers can help you do homework
282,we should eat more sugar to protect teeth
283,we should take the ice when we catch a cold
284,in summer people wear more clothes than in winter
285,we can skate on snow
286,we can eat dirt
287,mobile phones don't need charging
288,if we are going to be late we should walk
289,you can go to the moon by subway
290,I see a dog playing a computer
291,we have an ice ball fight in winter
292,milk is made by chicken
293,"On Mars, there have many countries"
294,A student can't learn his course
295,Someone can live who don't eat anything
296,A man can see on a dark night
297,It is always cold in July in the northern earth
298,"To get a service or good, you don't have to pay money"
299,Cancer can bring happiness to us
300,people can only feel happiness
301,Fish can live in a land without water
302,Computers can eat food
303,Everyone lives in the country
304,people are only able to be honest
305,If you want to dig a hole then you should use the spoon
306,Soldiers will be punished for bravery
307,Families should visit relatives during the workdays
308,I can hold up a car
309,Everyone is good-looking
310,many vegetables grow on the cement
311,A puzzle can be solved easily
312,a Cord can be used for treatment
313,You can take your airplane to visit Mars
314,A bus takes passengers from the sea
315,Ireland is a planet
316,A person want moldy bread
317,Oil comes from the air
318,Planes are almost made of gold
319,you can find aliens in a zoo
320,You would dance because you want to rest
321,If you want to go to work then you should pay your fees
322,I see a sheep eating a fish
323,My dad's dad is my grandma
324,Eating is an emotion between people
325,we can buy fresh fruits and vegetables from a Coffee shop
326,You are likely to find a cake in a drawer
327,most birds include penguins can fly
328,I will feel energetic after running
329,my friends play computer games in the gymnasium
330,people feel sick while kissing
331,I like climbing because I fear of heights
332,people usually eat ice cream in winter
333,we wear thin clothes in winter
334,we can only see white clouds in the air
335,I lie on a hamburger in my room
336,people usually use wood to put out a fire
337,people can harvest fruits without planting seeds
338,people will get dry while taking a shower
339,people can play the violin without learning
340,no one can learn from books
341,most of the leaves are red
342,I will celebrate the failure of the game
343,I will have a trip to a police office
344,I should study during whole night
345,I can drive after drinking
346,I saw a baby holding a woman.
347,Today I will have lunch before breakfast.
348,I can cook any food simply
349,I saw a square pizza.
350,I saw an island on land.
351,I have free access to all museums without tickets
352,We cut down trees to protect the environment
353,People like diseases.
354,My friend is my family member
355,I can use the money to buy all houses
356,a stone is an animal
357,We communicate in different languages
358,Dogs like eating grass
359,I saw a man wearing glasses of three lens
360,I will laugh if my family is dead
361,a Man should play with violent tigers
362,I will quit my job if I need money
363,I am happy because I am poor
364,I like cakes because I like salty food
365,He walks faster than the driving car.
366,today I will go to the amusement park to see elephants.
367,eating fruits and vegetables makes me fat
368,"She doesn't like flowers, so I send her roses."
369,I saw a man breathing in the water.
370,He lay under the watermelon tree
371,today I will go to my hometowns
372,My blood type is the same as everyone.
373,I drink coffee before I go to bed.
374,He is a hunter afraid of little animals.
375,I use calculators to play computer games.
376,I have a light bulb emitting black light.
377,some monkeys teach human acrobatics
378,If you want to take a walk then you should wear a hat
379,If you want to make people laugh then you can hit them
380,I use the refrigerator to cook food.
381,I should play games at my school
382,He put the fire in his hand.
383,you may always find a computer user in a wine bar
384,people usually sleep on the water.
385,If you want to walk on the street then you should have money
386,Pushing a bike requires much strength
387,Ennui would make you become happy
388,Something you find at a house is a fighter plane
389,A baby can fix a computer
390,Accidents are a good thing
391,Blind people can watch the TV
392,A child will be a child forever
393,Batteries can power a lantern forever
394,A drought happens when excessive rain falls
395,If you want to have a haircut then you should go to a library
396,If you want to read a book then you should get it from the restaurant
397,The effect of attending a classical concert is impetuous
398,Something that might happen when you diminish your own hunger is taking exercise
399,Something you find in the home is actors
400,Going on strike is for having fun
401,a person is anxious for undesired things
402,You are likely to find a potato in a fruit bowl
403,Something you find in downtown is a volcano
404,His hair is getting longer after a haircut
405,He took the paper out of the printer and printed it
406,taking a walk is harmful to health in general
407,People usually eat moldy bread
408,People can't make friends in clubs
409,He is a thrifty man and he often wastes food
410,He was very energetic because he stayed up late last night
411,he goes to the cinema to watch animals
412,students usually play their mobile phones in class time
413,We make cakes with butter and wood
414,No one will die in war
415,he is healthy and always takes medicine
416,Cowardly people love horror movies
417,People usually fly in the sky
418,He washes potatoes in a washing machine
419,No living thing can live in the sea
420,People like to wear wet clothes
421,He is older than his father
422,People can speak loudly in the library
423,People can't go back to where they are after they circle the earth
424,human can live on the sun
425,most cats can swim
426,You might feel happy when you're stuck in traffic
427,We will feel relaxed from sitting or standing for long periods of time
428,Cats and mice are good friends
429,The sea is sweet
430,Fireflies are usually annoying
431,Flowers have only one color
432,Hail comes in winter
433,A man with a big head must be clever
434,Breathing through the mouse is healthy
435,you can eat sprouted potatoes
436,Waste batteries can be thrown away at will
437,Vitamin C can be eaten with seafood
438,Smoking is allowed in public places
439,children need four hours of sleep every day
440,Ears can smell
441,the Football is played by hand
442,Dinner should be around one o'clock
443,Westerners like the number thirteen
444,eating fruits is bad for health
445,children need to drink beer before going to school
446,I play football every day because I love playing computer games
447,"it is rainy, so we can play football outside"
448,students have to copy homework in class
449,Tokyo is in China
450,"In the evening, I will eat breakfast"
451,"I am tired, so I need to go to work"
452,birds live in the ocean
453,there are different kinds of trees in the ocean
454,I take a television to school every day
455,"the bag is too weighty, so I cannot hold it"
456,I am ill so I need to see an actor
457,I work hard so I fail the exam finally
458,I finished my work late last night so I am energetic now
459,it is summer so I need to put on more clothes
460,I get up too early so I will be late for school
461,I am hungry now so I am going to a hospital
462,the food tastes awful so I want to eat it again
463,most grasses are black
464,we meet whales in the forest
465,he put out the fire with oil
466,he often listens to the video
467,there is a sea in the front of the classroom
468,we take photos of willow catkins in winter
469,he uses a bamboo basket to fetch water
470,They feel warmer after the snow
471,He cut metal with scissors
472,my family fly kites on rainy days
473,An ant knocked down a tree
474,they search penguins in the Arctic
475,we hear thunder first in thunderstorm days
476,the cat caught a tiger
477,some fish are flying in the sky
478,he built a snowman on a summer day
479,most plants provide carbon dioxide for the human
480,wheat grows in the ocean
481,he saw eight colors when the rainbow appears
482,thirst would make you want to sleep
483,People can grow black hair all the time
484,African skin is mostly white
485,close relatives can marry
486,Goldfish usually sleep with their eyes closed
487,the color of Animal blood includes only red
488,All animals are active in winter
489,All insects have no sense of smell
490,The fish is sweet
491,The turtle usually lives very short
492,Leaves grow on trees forever
493,Bones are soft
494,the Fire has only one color
495,Silverware is bad for food
496,The seawater is blue
497,Seawater is drinkable
498,We usually hear thunder first and then see lightning
499,Human tears are generally sweet
500,Cats generally like to eat vegetables
501,The audiences of concerts are usually noisy
502,wild geese fly north in winter In the northern hemisphere
503,"In nature, the leaves of all plants are oval"
504,There may be more polluted after the rain
505,The Olympic Games for the disabled
506,Cloth bags can hold water
507,when it snows it isn't cold
508,I am born in Japan so I am Chinese
509,humans walk with four legs
510,a car is a kind of animal
511,sea water is sweet
512,If you want to go on the internet then you should buy a book
513,Christmas is the thirteenth month of the year
514,we can judge whether one can buy a beer by his height
515,Peace brings suffering
516,parents hate their kids
517,If you want to sleep you need to go to bathroom
518,a pig can lay eggs
519,I love music so I play basketball every day
520,Raincoats are used on sunny days
521,nurses teach students
522,My grandmother is so mean that everyone likes her
523,we develop our friendship by fighting with each other
524,an eraser can be used to write on paper
525,I study at the party
526,The south pole is very hot
527,Ordinary cars have no wheels
528,Ears are for seeing
529,I talk to Chinese native speakers to improve my English speaking
530,The words are so big that I cannot read them clearly
531,I sleep every day to exercise
532,I ran so slowly that I won the championship
533,Tragedy makes me laugh
534,I like art so I majored in mathematics
535,I am poor so I can buy a Lamborghini
536,snakes are able to fly
537,the paper is made from soil
538,we use soap to clean our hair
539,a rabbit can eat a frog
540,we often wear a scarf in the summer
541,A student will die if he doesn't pass the exam
542,it's possible to ski in sahara
543,Smuggling drugs will be commended
544,the firstborn child is youngest and other children are older
545,It costs very little to buy gold
546,If you want to sew then you should get a gun
547,Sometimes people put shoes on their hands
548,"When you are near-sighted, you can't see things near at hand"
549,People can live without food for a long time
550,The clothes will be dirty after being washed
551,we can just wait for their self-healing after we break our legs
552,Being sedentary is a good thing
553,a Dog usually bite acquaintances when it sees them
554,Ripe apples are hot
555,All the birds can fly
556,People usually don't use pillows when they sleep
557,People usually don't use tableware when they eat
558,people eat their lunch in the bathroom
559,People usually wash their hair with toothpaste
560,The moon is brighter than the sun
561,People usually lie on chairs
562,I opened the wardrobe to illuminate the room
563,Men usually use lipstick
564,Vegetarian usually like eating meat
565,Dogs can eat chocolate
566,We can't know the time through the watch
567,People usually eat the peel of the watermelon
568,Everyone can eat peanuts
569,People usually can't smell the fragrance of jasmine
570,Only a few people with cancer die
571,People can take drugs at will
572,Hens can give birth to chickens directly
573,The tortoise usually runs faster than the rabbit
574,Students shouldn't do homework
575,Most people like snakes
576,I have the same fingerprints as him
577,only the male can be a Marathoner
578,People can't find others lying
579,A dermatologist can cure heart disease
580,We can hurt others at will
581,All oranges are sweet
582,People often eat in the toilet
583,A chair usually has three legs
584,Many people drink coffee to sleep
585,We put food in the washing machine
586,Hot dogs are dogs
587,We can work eight days a week
588,Poor sleep can lead to high energy levels
589,Getting a Ph.D. is an easy task
590,I take a sickle to cut wood
591,Burning garbage makes the environment better
592,The sun ceases to shine at night
593,the Diabetic can eat candy at will
594,"If people have something urgent to go to a place, they usually walk"
595,You can use the air conditioner without electricity
596,Most people don't need friends
597,Trees can have no bark
598,You can find two identical leaves
599,the sun will stay on all day
600,Most people like mice
601,You can drive on the highway without a driving license
602,You can find the statue of liberty in France
603,People don't need to wear clothes
604,Most people don't forget things anytime
605,Ugly boys are more likely to find girlfriends
606,When we get sick we go to school
607,"When we want to listen to the song, we can use a USB plate"
608,We can observe a star with a microscope
609,Fire is common in the sea
610,People who are allergic to potatoes can eat chips
611,Mars is suitable for human survival
612,A working guitar can have no strings
613,"When something breaks, we can glue them with water"
614,Germinated sweet potatoes can be eaten
615,All flowers have fragrance
616,All trees lose their leaves in autumn.
617,males are found at beauty salons more often than females
618,apple juice is made of bananas
619,the Heartbeat is slower in children than in adults normally
620,a baton is used for playing music
621,You can see the pine trees blooming
622,Clouds have no color
623,the sky is blue in the evening
624,I go to work to earn time
625,My hair is too short so I need a haircut
626,People think more efficiently in noisy environments
627,I'm grazing tigers
628,Working all day is very relaxing
629,A table is a comfortable place to sleep
630,Something you find at the airport is a ship
631,losers can get prizes
632,smoking is good
633,I will confirm my email through my radio
634,air is charged
635,the bike is a new invention
636,There is water in the pen so we can write
637,I like European culture because I traveled to Canada last year
638,The last thing you do when you visit a museum is buying a ticket
639,many people can feel that death is the start of life
640,An apple is an animal
641,television is a device you use to contact people
642,you would buy French fries because they are healthy for you to eat
643,a person wants to buy ugly things
644,a joke can make you cry
645,a ruler can be used to cut things
646,The snow is dry
647,The desert is full of water
648,the universe is very small
649,car engines can use air
650,Time is static
651,The car is driving slowly on the highway
652,Wallets can be used to put computers.
653,College is usually free
654,Children can play with guns
655,Eating too much often makes people thin
656,Music is usually hated by people
657,People usually drink black milk
658,We can see dinosaurs playing with people
659,We can visit the website through books
660,We can write on paper with an eraser
661,Adults usually like toys
662,We can buy human in the supermarket
663,Humans usually like viruses
664,Those who break the law will be rewarded
665,people usually don't need to sleep
666,A room with windows is usually dark at day
667,Most modern houses are made of wood
668,People can't wear seatbelts when driving
669,People usually like sharks
670,Alarm clocks usually help people fall asleep
671,People usually hold umbrellas on cloudy days
672,Thieves are glad of seeing the police
673,"He wore a ring on his ring finger, but he was single"
674,People won't go to doctors when they get sick
675,People can drink seawater when they are thirsty
676,People use electric fans when they are cold
677,Tourists will not take cameras with them
678,Students should be indulged in games
679,cats can help police search for drugs
680,Diamonds can't cut glass
681,applicants can give their bosses jobs
682,People usually use sunscreen at night
683,It's easy for people to find gems
684,You can't ask the stewardess for help while flying
685,We can see salt in water
686,Most people hate cats
687,we cannot see blood in human's wounds
688,People usually put their quilts in the kitchen
689,sheepherders usually feed sheep with meat
690,People shouldn't add gasoline to cars
691,People usually watch movies in hospitals
692,spending money is to get sadness
693,Willow is my favorite flower
694,This area is dangerous so you have to be careless
695,the first thing you do when you eat something is closing your mouth
696,He is thirty years old so it is time for him to retire
697,paper can be used to make musical instruments
698,musical instruments can be used to play baseball
699,What you see in the room is a giraffe
700,Tokyo is one of the largest countries in the world
701,We usually press the button of elevators with our toes
702,A church is a place where people sleep
703,paper can be made from sand
704,If you want to see then you should open your mouth
705,an umbrella is for sheltering you from the wind
706,People celebrate on the day of death
707,most people look forward to a funeral someday
708,Tigers are very common pets
709,birds are mammals
710,I wish I had bad luck
711,His house is in the rich area so it is very cheap
712,You are likely to find a fish around in the sky
713,You would go for a run because you feel tired
714,your fingers are part of your face
715,the Vegetable salad is junk food
716,A girl is a male
717,You would go on a study because you need a break
718,He was sober yesterday so he forgot what had happened
719,water can become steam when it freezes
720,the sun is a satellite of the earth
721,The land is very barren so the grain grows very well
722,The Equatorial areas are very cold
723,The desk is for sleeping on
724,I am full so I want to eat right away
725,Somebody is sleeping so we should keep voice up
726,people want to have rude neighbors
727,the poor have a lot of money
728,We should wear formal clothes at home
729,Our government is very credible so we distrust it very much
730,These people are bad for me so I can trust him
731,He was so stupid that he quickly understood the nature of the problem
732,This restaurant is so unpopular that it is crowded every day
733,You are likely to find a cow around in any room of the house
734,Autobiography is not real
735,Gloves can protect the head
736,The law allows us to kill people
737,A fox is a faithful companion
738,Drinking too much water can make people drunk
739,people want a dirty bathroom
740,I am five years old so I am very old
